selected_id,class,andv_mean_identity_pct,full_panel_mean_identity_pct
I01,I,99.72999999999999,87.46000000000001
I02,I,100.0,94.06
I03,I,100.0,92.55
I04,I,96.66,85.04
I05,I,100.0,93.76
I06,I,99.76,84.68
I07,I,99.74,74.71
I08,I,99.67,94.39
I09,I,100.0,88.75
I10,I,99.68,77.09
I11,I,100.0,69.63000000000001
I12,I,100.0,96.09
I13,I,90.75999999999999,67.83
I14,I,100.0,96.19
I15,I,100.0,82.59
II01,II,99.82,95.59
II02,II,99.83,96.19
II03,II,94.53,94.17999999999999
II04,II,98.82,88.71
II05,II,91.67999999999999,73.81
II06,II,99.82,84.67
II07,II,91.29,85.24000000000001
II08,II,99.82,85.22
II09,II,100.0,95.1
II10,II,100.0,93.15
